ym	rule_id	qty_total	qty_sharp	qty_peak	qty_flat	qty_valley	extra_qty_snap	cost_amount	base_snap	std_value	fold_add	price_snap	allocated_amount	gap_amount
2023-10	25	3679.80	0.00	0.00	0.00	0.00	0.00	4059.44	80000.00	0.05000000	NULL	1.10316875	NULL	NULL
2023-10	26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.10316875	NULL	NULL
2023-10	27	0.03	0.00	0.00	0.00	0.00	0.00	0.03	NULL	0.03000000	NULL	1.10316875	NULL	NULL
2023-10	28	38.73	0.00	0.00	0.00	0.00	0.00	42.73	1734.73	0.02000000	NULL	1.10316875	NULL	NULL
2023-10	29	102.84	0.00	0.00	0.00	0.00	0.00	113.45	2293.34	0.05000000	NULL	1.10316875	NULL	NULL
2023-10	30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.10316875	NULL	NULL
2023-10	31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.10316875	NULL	NULL
2023-10	32	103.49	0.00	0.00	0.00	0.00	0.00	114.17	579.13	0.20000000	NULL	1.10316875	NULL	NULL
2023-10	33	64.42	0.00	0.00	0.00	0.00	0.00	71.07	734.02	0.10000000	NULL	1.10316875	NULL	NULL
2023-10	34	8.08	0.00	0.00	0.00	0.00	0.00	8.91	734.02	0.01000000	NULL	1.10316875	NULL	NULL
2023-10	35	6.92	0.00	0.00	0.00	0.00	0.00	7.63	NULL	7.63000000	NULL	1.10316875	NULL	NULL
2023-10	36	15.60	0.00	0.00	0.00	0.00	0.00	17.21	NULL	17.21000000	NULL	1.10316875	NULL	NULL
2023-10	37	68.02	0.00	0.00	0.00	0.00	0.00	75.04	1417.26	0.05000000	NULL	1.10316875	NULL	NULL
2023-10	38	9.41	0.00	0.00	0.00	0.00	0.00	10.38	1417.26	0.01000000	NULL	1.10316875	NULL	NULL
2023-10	39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NULL	0.00000000	NULL	1.10316875	NULL	NULL
2023-10	40	1418.92	0.00	0.00	0.00	0.00	0.00	1565.30	12487.04	0.13000000	NULL	1.10316875	NULL	NULL
2023-10	41	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	42	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	43	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	44	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	45	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	46	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	47	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	48	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	49	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	50	NULL	NULL	NULL	NULL	NULL	170.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	51	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	52	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	53	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	54	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	55	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	56	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	57	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	58	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	59	NULL	NULL	NULL	NULL	NULL	100.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	60	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	61	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	62	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	63	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	64	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	65	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	66	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2023-10	67	NULL	NULL	NULL	NULL	NULL	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL
